district;neighborhood;very_heavy_damage;heavy_damage;moderate_damage;light_damage;fatality;severe_injury;hospital_treated;minor_injury
Adalar;BURGAZADA;54;99;256;241;8;6;24;42
Adalar;HEYBELIADA;101;175;423;393;25;21;66;113
Adalar;KINALIADA;53;97;287;302;5;3;15;27
Adalar;MADEN;104;192;483;484;22;18;64;113
Adalar;NIZAM;101;180;445;422;16;13;48;83
Arnavutkoy;ADNAN MENDERES;1;3;21;57;0;0;1;3
Arnavutkoy;ANADOLU;2;13;108;371;0;0;0;26
Arnavutkoy;ARNAVUTKOY MERKEZ;1;6;51;199;0;0;2;10
Arnavutkoy;ATATURK;1;6;49;129;0;0;2;8
Arnavutkoy;BAKLALI;1;5;23;65;0;0;0;0
Arnavutkoy;BALABAN;0;1;3;22;0;0;0;0
Arnavutkoy;BOGAZKOY ISTIKLAL;2;14;95;249;0;0;3;10
Arnavutkoy;BOLLUCA;1;6;46;125;0;0;1;5
Arnavutkoy;BOYALIK;1;4;21;63;0;0;0;0
Arnavutkoy;CILINGIR;1;5;28;76;0;0;0;0
Arnavutkoy;DELIKLIKAYA;1;7;50;120;0;0;0;2
Arnavutkoy;DURSUNKOY;1;5;18;45;0;0;0;1
Arnavutkoy;DURUSU;0;2;10;30;0;0;0;0
Arnavutkoy;FATIH;1;4;21;59;0;0;0;1
Arnavutkoy;HACIMASLI;0;3;16;41;0;0;0;0
Arnavutkoy;HADIMKOY;1;7;63;203;0;0;0;4
Arnavutkoy;HARACCI;2;12;82;230;0;0;0;4
Arnavutkoy;HASTANE;1;6;45;147;0;0;0;5
Arnavutkoy;HICRET;0;3;24;61;0;0;0;2
Arnavutkoy;IMRAHOR;3;17;96;255;0;0;2;11
Arnavutkoy;ISLAMBEY;2;11;88;268;0;0;4;18
Arnavutkoy;KARABURUN;0;3;32;112;0;0;0;0
Arnavutkoy;KARLIBAYIR;2;9;60;186;0;0;1;8
Arnavutkoy;MARESAL FEVCI CAKMAK;1;6;50;141;0;0;0;1
Arnavutkoy;MAVIGOL;1;6;53;146;0;0;0;3
Arnavutkoy;MEHMET AKIF ERSOY;1;4;26;73;0;0;0;3
