district;neighborhood;room;living room;area (m2);age;floor;price
 Bakırköy ; Kartaltepe Mah.;2;1;90;45;3;260
 Çekmeköy ; Merkez Mah.;3;1;150;11;0;850
 Fatih ; Mevlanakapı Mah.;2;1;68;35;1;130
 Beyoğlu ; Kılıçali Paşa Mah.;2;1;80;0;3;790
 Bahçelievler ; Bahçelievler Mah.;2;1;90;1;-2;400
 Fatih ; Seyyid Ömer Mah.;1;1;65;42;1;165
 Kartal ; Gümüşpınar Mah.;4;1;195;29;4;250
 Arnavutköy ; Boğazköy İstiklal Mah.;2;1;107;2;3;200
 Beylikdüzü ; Adnan Kahveci Mah.;3;1;175;22;11;250
 Beyoğlu ; Kılıçali Paşa Mah.;2;1;130;50;5;800
 Avcılar ; Mustafa Kemal Paşa Mah.;1;1;65;1;0;190
 Çekmeköy ; Merkez Mah.;2;1;147;11;2;670
 Sultanbeyli ; Mimar Sinan Mah.;3;1;115;4;3;245
 Esenyurt ; Osmangazi Mah.;1;1;86;0;1;230
 Esenyurt ; Barbaros Hayrettin Paşa Mah.;2;1;180;8;5;250
 Eyüpsultan ; Mimar Sinan Mah.;3;1;156;0;0;1300
 Sancaktepe ; Abdurrahmangazi Mah.;3;1;185;2;4;330
 Beşiktaş ; Levent Mah.;4;1;360;5;21;2000
 Beykoz ; Merkez Mah.;2;1;90;25;1;220
 Çekmeköy ; Merkez Mah.;2;1;95;7;4;230
 Şişli ; Cumhuriyet Mah.;1;1;65;45;4;400
 Başakşehir ; Başakşehir Mah.;2;1;85;30;5;210
 Kağıthane ; Merkez Mah.;1;1;77;4;10;450
 Beylikdüzü ; Kavaklı Mah.;2;1;110;1;1;230
 Eyüpsultan ; Mimar Sinan Mah.;1;1;50;6;2;350
 Arnavutköy ; Arnavutköy Merkez Mah.;3;1;110;5;5;150
 Avcılar ; Gümüşpala Mah.;3;1;120;25;3;190
 Küçükçekmece ; İstasyon Mah.;2;1;84;11;5;260
 Beyoğlu ; Firuzağa Mah.;1;1;65;50;0;190
 Beşiktaş ; Ortaköy Mah.;4;1;280;20;4;2700
 Şişli ; Paşa Mah.;3;1;100;24;4;340
